customer_id,tenure_months,avg_monthly_transactions,avg_transaction_amount_usd,days_since_last_transaction,support_tickets_last_90d,avg_satisfaction_score,used_promo_code,referred_by_friend,country,device,churned
501710,10,2.68,267.06,19,0,,0,0,Mexico,iOS,0
502921,12,1.64,134.85,39,0,,1,0,Colombia,Android,0
505660,24,9.79,431.44,38,3,7.4,0,0,Mexico,iOS,0
501371,11,5.23,256.59,49,0,,0,0,Mexico,Android,0
503477,19,4.24,303.7,18,0,,0,0,Colombia,iOS,0
505866,10,6.05,97.4,25,0,,1,0,Mexico,Android,0
504662,22,2.58,125.3,25,0,,1,1,Espana,iOS,0
502410,14,2.67,386.41,21,0,,0,0,Mexico,iOS,0
502714,3,5.54,339.41,33,1,5.5,1,0,Mexico,Android,0
505913,3,2.47,358.86,11,1,8.2,1,0,Republica Dominicana,Android,0
500362,14,8.97,114.79,20,1,4.0,0,1,Peru,Android,0
500877,31,2.1,298.59,14,0,,0,0,Colombia,Android,0
502832,6,1.2,200.38,39,0,,0,0,Chile,Android,0
505616,20,5.87,445.11,21,0,,0,0,Mexico,Android,0
505639,4,0.92,121.12,34,0,,0,0,Peru,Android,0
505104,15,0.94,217.2,31,1,7.0,1,0,Espana,iOS,1
502819,5,0.46,387.49,32,0,,0,0,Panama,iOS,0
502053,10,0.5,290.3,18,0,,0,0,Espana,iOS,0
505739,1,1.92,284.88,14,1,5.2,1,0,Republica Dominicana,Android,0
503726,12,6.35,508.14,8,1,7.4,0,0,Espana,Android,0
505724,17,3.58,556.17,32,1,10.0,0,0,Chile,Android,0
503978,26,4.42,68.24,31,1,6.6,0,0,Colombia,Android,0
500422,17,2.88,218.03,53,0,,1,0,Argentina,Android,0
502809,9,1.04,948.61,124,0,,0,0,Mexico,Android,1
502848,25,2.57,447.32,21,2,6.6,0,0,Chile,iOS,0
503265,4,8.57,235.22,44,1,6.6,0,0,Espana,Android,0
504641,13,1.85,90.6,24,0,,0,0,Espana,iOS,0
505413,8,2.78,376.68,28,1,5.2,0,0,Colombia,iOS,1
501737,1,1.36,169.61,80,0,,0,0,Republica Dominicana,Android,1
504240,20,1.79,374.78,11,0,,1,1,Panama,Android,0
500123,15,1.75,301.07,34,1,8.4,0,0,Argentina,Android,0
501483,4,9.56,437.66,78,0,,0,1,Peru,iOS,0
500638,12,1.54,442.73,40,2,5.6,1,1,Panama,Android,0
504187,19,4.84,359.67,61,2,5.4,0,0,Espana,Android,0
505483,41,8.94,100.24,42,0,,1,1,Chile,iOS,0
501232,25,2.36,722.58,65,0,,1,0,Mexico,Android,0
501346,16,1.91,532.58,35,0,,0,0,Chile,Android,1
505706,6,2.76,306.05,27,0,,1,1,Chile,Android,0
501564,10,3.07,233.04,5,0,,1,0,Mexico,Android,0
500181,16,1.79,273.63,35,0,,1,0,Mexico,iOS,0
501629,8,6.17,122.93,7,2,6.4,0,0,Republica Dominicana,Android,0
501425,19,6.86,93.08,20,1,5.9,0,0,Espana,iOS,0
501494,11,4.49,195.89,11,2,9.1,0,0,Espana,iOS,0
504842,9,3.27,300.73,73,0,,1,0,Espana,Android,0
502311,8,2.7,120.86,48,1,6.8,1,1,Mexico,Android,0
503773,6,1.44,284.25,6,1,6.2,1,1,Colombia,iOS,0
503729,3,3.96,56.46,6,1,10.0,0,1,Mexico,Android,0
503054,19,1.53,88.33,17,0,,0,1,Mexico,Android,0
504338,8,8.08,194.72,8,1,8.1,0,0,Chile,Android,0
501242,6,3.08,198.27,44,0,,1,1,Mexico,Android,0
